---,IngredientId,Level,SellValue
LingGu_Lv0,LingGu,0,10
LingGu_Lv1,LingGu,1,22
LingGu_Lv2,LingGu,2,48
LingGu_Lv3,LingGu,3,100
LingGu_Lv4,LingGu,4,220
YinShanJun_Lv0,YinShanJun,0,10
YinShanJun_Lv1,YinShanJun,1,22
YinShanJun_Lv2,YinShanJun,2,48
YinShanJun_Lv3,YinShanJun,3,100
YinShanJun_Lv4,YinShanJun,4,220
ChiYanJiao_Lv0,ChiYanJiao,0,10
ChiYanJiao_Lv1,ChiYanJiao,1,22
ChiYanJiao_Lv2,ChiYanJiao,2,48
ChiYanJiao_Lv3,ChiYanJiao,3,100
ChiYanJiao_Lv4,ChiYanJiao,4,220
YueLinYu_Lv0,YueLinYu,0,10
YueLinYu_Lv1,YueLinYu,1,22
YueLinYu_Lv2,YueLinYu,2,48
YueLinYu_Lv3,YueLinYu,3,100
YueLinYu_Lv4,YueLinYu,4,220
XuanYuQin_Lv0,XuanYuQin,0,10
XuanYuQin_Lv1,XuanYuQin,1,22
XuanYuQin_Lv2,XuanYuQin,2,48
XuanYuQin_Lv3,XuanYuQin,3,100
XuanYuQin_Lv4,XuanYuQin,4,220
